CGPA,Human_resources,Instructional_materials,Physical_facilities,Internet_accessibility,Transportation,Security,Students_accomodation,Electricity
2.33,2.83,2,2.57,2,4,2,2,2.33
3.51,2.67,1.5,2.43,2,4,3,3,2.33
3.23,2.83,2.5,3.14,1,2.33,4.33,2,1.67
2.02,4.67,2.5,3.43,1,4.67,4.33,4,2.67
2.81,3.83,3.25,3.43,1.33,4,3.33,2.5,2.67
3.08,3.83,3,3.29,1.67,1.67,1.67,2,2
3.22,4,2.5,2.57,1,3.33,3,3.5,2.33
3.01,3.5,2.25,3,2,3.33,4,4,2
3.12,4.33,3.25,4.14,1,1,2.33,3,1
2.22,3.83,2.75,3.43,1.33,3.33,2.67,3,3.33
3.2,3.83,3.25,3.29,3,3.67,3.33,4,2.67
3.56,4.5,3.25,3.43,1,3.33,3.33,2.5,2.67
3.66,3.83,2.5,3.57,1,4.67,4,4.5,2.33
3.19,3.67,3.25,4,1.33,2.67,2.67,3,2
2.6,3.67,3.5,3.57,2,2.67,4,3,2
2.99,3.67,4,3.43,1.67,2.67,3.67,2.5,4
3.1,3.33,3.25,3.29,1.67,2.67,3,3.5,1.67
2.73,5,3.75,3.57,3,3,3,3,3
2.5,4.17,3.25,3.86,1.33,3.33,4,3,3
3.1,4.17,3,3,2.33,1.33,2,1,1
3,3.5,2.75,3.14,1,5,3.33,2,2.33
2.39,2.83,2.75,2.71,1,4.67,3,4.5,3.67
2.81,3.5,3.75,3.43,3,3.67,3.67,3.5,1.33
2.75,3.83,2.75,3.29,2.33,2.33,4,4.5,1
3,4.5,2.75,3,1,4.33,4,4,1
3.05,3.83,3.75,3.86,4.33,4,3.67,3,2.33
3.67,3,2.5,3.29,3.67,4,3,3,2
3.02,3,2.25,3.57,1,4,2.33,2,2.33
2.77,3.17,3.25,3.14,3,5,3.33,3.5,2.33
2.45,3.33,2,2.29,1,4,1.33,1,1
2.38,3.67,3,3.57,2,2.67,2.33,2.5,3.67
3.2,3.67,3,3.43,4,3.33,2.67,4,3
3.56,3.5,3,3.71,1,2.33,2,2.5,1.67
3.01,2.5,2.5,2.71,1,3.67,1.33,2,1.33
3.44,5,2,3.86,1,3.33,3.33,2,3.33
2.5,3.17,3,3.57,2,3.33,4.33,4,2.67
3.1,3,2.25,2.57,1,2.33,2.33,3,1
2.66,3,2,2.86,1,2.67,2.67,2.5,1
3.54,2.83,3.75,3.57,1,4.33,3,3.5,4
3.21,2.83,2.25,2.86,1.33,2.67,2.67,4,1
3.23,3.5,3.5,4.43,1,2,2.33,2.5,2
2.43,3.33,2.5,3.57,1.33,2.67,2.67,3.5,1
3.63,3.67,2.75,3,1,4.33,1,4,1
3.01,3.17,2,3.14,2,1.33,2.33,2.5,2
2.38,3.83,3.25,3.57,1,3.33,4,2,1
3.52,3.5,2.5,2.71,1.33,4.33,2.67,4,5
2.63,3.83,2.5,2.43,1.33,4.33,2.67,3,1
3.12,5,3.75,4.43,2,3.33,3,3,3
3,5,4,4.57,2,3,3.33,4,4
3,4,2.75,3,3,3,3.33,3,2
3.34,3.5,2,3,1,5,2.33,3,1
3.01,3.83,4,4.14,2,2,2.33,1.5,2.33
2.58,3.67,3.25,3.71,2,2,2.67,2,2.67
3.34,2.67,4,3.57,3.33,4,4.67,3,1
2.89,4,3.75,4,2,1.67,1.67,2.5,1.33
3.32,3,3,3.71,2.33,2,2.67,3,1.67
3.42,4,4.25,4.14,1.67,1.33,2.67,1.5,2.33
2.86,4.17,3.5,4.57,2,4.33,4.33,2,1.67
3,4.33,3.75,4.57,3,4.67,4,2,3
3.51,4.33,3.25,4.14,1.33,3.67,4.67,2,2.33
3.11,3.67,4,4.71,2.67,4.33,3.33,2.5,3
2.82,3.83,4.5,4.71,2,3.33,4.33,4,3.67
3.62,4.33,4.5,4.43,2.33,4.33,3.67,3,1.67
3.41,4,3.25,3.86,2,4,3.67,3,2
3.59,4.5,4.5,4.57,2,4.33,4,4.5,1.67
3,4.67,4.5,4.43,1.33,2.67,3,2,2.33
3.22,4.67,3,3.86,1.33,4.33,4,3,3
3.56,4.67,4.25,4.29,2,4,4.33,2,2.67
2.94,4.5,3.75,4.43,1.33,2.67,3,2,1.67
2,4,3.25,3.57,2,4,3.33,4,2
3.55,3.5,3.5,3.43,1.33,4.67,3.33,4,2.33
2.6,3.33,3,3.43,1.33,4.67,3.33,4,3.33
3.05,4,2.5,3.43,1,4,2.67,4,2
2.23,4,2.5,3.29,1,4,2.67,4,2
3.09,4,2.5,3.29,2,3,3.33,3,4
2.4,4,2.5,3.29,2,3,3.33,4,2
2.65,4,2.5,3.71,1,4,3.33,4,2
2.88,4,3.25,3.57,1,4,3.33,4,2
2.43,4,3.25,3.86,2,3,4,3,3
3,4,3.25,3.71,1,4,3.33,4,2
2.76,4,3.25,3.57,1,4,3.33,4,2
2.55,4,3.25,3.86,2,3,3.33,4,2
2.03,4,3,3.71,1,4,3.33,4,2
3.63,4,3.25,3.71,2,4,3.33,4,2
3.54,4.5,4.5,3,4.67,4.33,1.33,4.5,1.33
2.5,4.33,4.5,3,4.67,4.33,1.33,4.5,1.33
3.51,4.5,4.5,2.43,4.67,4.33,2.33,4.5,1
3.54,4.5,4.5,3,4.67,4.33,2.33,4.5,1
3.33,4.33,4.5,2.86,4.67,4.33,2.33,4.5,1.33
2.83,4.5,5,3.14,4.67,4.33,2,4,1.33
3,4.17,4.25,3,4.67,4.33,1.33,4,1.33
2.94,4.33,2.5,3.29,1,3.33,3.67,3,1
3.56,4.67,3.75,3.57,2,2,3.33,4,3.33
3.5,3.83,2.5,2.71,1.33,2.67,3.67,3,1
3.15,4.5,3.75,3.57,2,2,3.33,4,2.67
2.2,3.83,2.5,3,1.33,3.67,3.67,3,1.33
3.6,3.5,2,3.86,1,3,4,2.5,2.33
3.15,3.67,2,3.86,1,3,4,2.5,2.67
3.39,3.83,2,2.86,1,3,4,3.5,2.33
3.12,4.5,4.5,4.43,1.67,4,5,4,3.67
3.45,3.33,2.25,3.86,1,3,4,3.5,2.33
3.22,4.33,4,4.29,1,4.33,4.33,4.5,3.67
2.1,3.5,2,3.14,1,3.67,4,3.5,2.67
2.86,4.5,4.75,4.71,2.67,3.33,5,4.5,4.33
3,3.83,2,3.43,1,3.67,4,3.5,2.33
3.1,3.5,2,3.57,1,3,3.67,1.5,4
3,3.5,2,3.57,1,3,4,3,4
2.85,3.5,2.75,3.86,2.67,2.33,3,2.5,2.67
3.5,3.67,4,4,3.67,3,2.33,3.5,2
3.1,3.5,2,3.71,1,3,4,1.5,4
3.69,3.5,2,3.71,1,3,3.67,1.5,4
3.02,3.5,2,3.71,1,3,4,2.5,3
3.24,2.33,1.75,1.71,1,5,2.67,2,1
3.62,3.67,3,3.71,2,3.33,3.67,3,2.67
3.32,3.5,2.25,3,1.33,3,3,2.5,3
2.39,3.5,2,3.29,1,3,3.67,1.5,2.67
2.65,5,3.5,4.43,2,3,3,3,4
3.53,3.5,2,3.29,1,3,4,3.5,2.33
2.9,4,3.25,3.86,3,4,4,4,2
2.35,4,3.25,3.71,2,4,3.33,4,2
2.45,4,3,3.71,2,4,4,3,4
3.55,4,3,3.71,2,4,3.33,4,4
2.55,4,3,3.71,2,4,3.33,4,4
3.55,4,3,3.71,2,4,4,3,2
2.03,4,3,3.71,2,4,4,4,2
2.15,4,3,3.71,2,4,4,3,2
2.88,4,3,3.71,2,4,4,4,2
3.42,3.33,3,3.71,2,4,4,4,2
3.6,4,3,3.71,2,4,4,3,2
3.18,4,3,3.71,2,4,4,4,2
2.01,4,3,3.71,2,4,4,4,2
3.88,4,3,4,2,4,4,4,3.33
2.9,4,3,3.71,2,4,4,4,2
2.62,3.83,3.75,4.43,2,4,1.33,2,2
2.51,3.83,3.5,4,2.33,4,2.33,1,2
3.5,3.83,2.75,3.86,1.33,4,2.67,1,2
2.59,3.67,3.5,3.86,1.33,4,2.67,1,2
3.07,4,2,2.43,1,4,1.67,4,3
2.8,4,2.5,2.43,1,4,2,4,3
2.5,4,2.5,2.43,2,3,3,2.5,3.33
3,4,2,2.43,1,4,2,4,3
3.56,4,2.5,2.43,1,4,2,4,3
2,3.83,3.25,3.57,2,4,4,5,3
3.44,3.83,2.75,3.86,1,4,1.67,2.5,2
2.33,2.5,3.5,4.14,1.67,4,2.67,1,2
3.33,4,2.25,3.29,2,4.33,3.33,3,2
2.5,4.5,3.25,3.14,1,3.33,5,4.5,1
3.34,4.67,4.5,4.43,1,4,4.33,1.5,2.33
2.23,4.33,4,4.14,2,1.33,4,2,1.67
3,2.67,2.25,2.57,2,3.67,2.33,3,1
3.26,2.83,2,3.14,1.33,2.67,1.67,3,1.67
2.99,3.33,2.25,2.86,1.33,2.67,1.33,3,1
2.3,3.83,2.5,3.57,1.33,2.33,1.67,3,1.33
2.87,5,5,4.43,1,5,3.67,1,1
3.17,3.5,3.25,3,1.33,3.67,2.33,3.5,1.67
3.45,2.83,2.25,2.43,2,2,2,2,2
3.39,2.33,1.75,1.43,2,4,1.67,2.5,1
3.05,4,3.25,3.57,2.33,2.33,3,2.5,2.67
2.77,3.17,2.5,2,2,2,2,2,2
3.5,3.33,2.25,3.14,2,1.33,2.33,3.5,2.67
2.59,3.67,2.25,2.71,1,5,3.33,1,1
3.54,3,2.25,2.86,5,5,1,2,1
2.56,3.5,2.5,2.29,1,3.33,3.67,4.5,1
2.65,3.33,2,3.29,1,2.67,1.67,3,1.33
3.3,3.33,3,2.86,1,2.67,2.67,2,2
3.99,3.83,2.75,3.57,2.67,3,1.33,2.5,1
3.49,3.67,2.25,3.29,1,4.67,2,2,1.67
3.4,3.5,2,3.14,1,2.67,4,4,1
3.6,4.17,2,3.14,1,5,4,2,1
3.3,3.5,2.5,2.43,3.33,2.33,3,3.5,3.67
3.8,3.67,2.5,4.43,1,4.33,5,4,1
3.57,4.67,4.25,4.14,3,5,5,3.5,2
3.8,4,2.5,3.57,1,3.33,3.67,3.5,2.33
3.67,4.17,3.5,3.71,1,3.67,3,3,1.33
3.39,4,2.5,3.14,1,5,3,4,1.33
2.46,4.5,4.5,4.29,2.67,2,2,1.5,2
3.85,3.17,2.25,2.71,1,4.33,1,1.5,1.33
3.5,3.67,3.25,3.29,3,2.33,4,4.5,2.67
3.27,3,2.5,2.86,2,4,2.67,3.5,2.33
3.61,3.5,2.5,2.29,1,4.67,2,1.5,1
2.33,5,2,2.43,1,2.33,3,3.5,1
3.68,4,4.25,4.29,2,2,2,2.5,2
2.87,3.83,2.5,3,1.67,4,3.33,2,2.67
3.5,3.17,2.75,2.14,1,2,1,2.5,1
2.3,3.33,2.5,2.43,1,2.33,3,2.5,1
2.54,4,2.25,3.14,2,4.33,2.67,1.5,2.67
3.01,3.33,3.25,2.29,1,4,2.67,1.5,1
2.32,3.33,2.5,2.71,1,4,2.67,1.5,1
3.53,4,3.25,3.71,2,2.67,3.33,2.5,2
3,2.5,4,2.14,5,5,5,5,5
3.4,3.5,2.5,3,2,2.33,3.33,3.5,2
2.4,3.5,2,3,1,2.67,4,4,1
3,3,2,2.86,1,3,1,2.5,1
2,2.83,2,2.86,2,2,2.67,3.5,4
2.2,2.83,2.25,3,1,2.33,2.67,3,1.33
4,3.83,2.5,2.71,1,3.33,1.33,2.5,1
3.46,4,3.25,3.71,1,3.33,2.67,2.5,1.67
2.45,4,2.5,3.43,1,2.67,3.33,4,2
3.5,2.67,2.75,1.29,1,5,4,2.5,1
3.57,3.83,2.75,2.71,2,4,2.67,2.5,2.33
3.5,5,5,4.71,3,3,2.33,5,2
3.09,2.5,3.25,3.29,2,4,1.67,4,1
3.3,4.33,2.5,2.86,4,5,1.67,1,1
3,3.83,3.25,3.14,2.33,3.33,3,3.5,2
3.58,3.5,3.75,3.86,2,4.33,4,4,2.67
2.59,3.5,3.75,3.86,2,4.33,4,4,3.33
3.51,3.33,3.75,3.86,2,4.67,4,3,4
3.35,3.5,3.75,3.86,2,4,4,4,3.33
2.12,3.5,3.75,3.71,2,4.33,4,4,2.67
3.51,3.5,3.5,3.86,2,4.33,4,4,3.33
2.36,3.5,3.75,3.71,2,5,4,4,3.33
3.57,3.5,4,3.71,2,4,4,4,3.33
2.48,3.5,3.5,3.71,3,4.67,4,3,4
3.38,3.5,3.75,3.86,2,4,4,4,3
3.7,3.83,3.25,3.71,2,3.33,4,4,3
2.58,3,2.5,3.14,1.67,3,4,1.5,1
3.29,3.5,4,3.86,2,5,4,4,3
2.52,3.5,3.5,3.71,2,4,4,3.5,2.67
3.9,3.5,3.5,3.86,2,4,4,2,3
2.54,3.33,3.25,3.71,2,5,4,4,2.67
3.41,3.33,3.5,3.71,2,4.33,4,3,2.67
3.55,3.33,3.5,3.86,2,4.33,4,4,3.33
3.9,3.17,3.5,3.86,1.67,4.33,4,4.5,3
2.45,3.33,3.5,3.86,2,4.33,4,4,3
3.58,3.17,3.25,3.86,1.67,4.33,3.67,4.5,3.33
2.66,3.67,3.5,3.86,2,4.33,3.67,4.5,3.33
3.86,3.67,3,3.71,1.33,4.33,4.33,4.5,3
3.25,3.5,3.75,3.86,2,4.67,4,4,3.33
3.14,3.67,2.5,3.43,2.33,2.33,1.33,3,1.33
2.5,4.17,3.5,2.86,3.67,1.67,3,3,2.33
2.72,4,3,4,3.33,2.33,3.67,1.5,1.67
2.11,2.17,3.5,4,2.33,2.67,2.33,1,2
2.05,3.83,2.5,2.86,3,3,3,3,3
3.91,3.5,3.5,2.57,3.67,4,3.33,3,3
3.22,3.33,2.25,2.86,3,3.67,3.33,5,1.33
2.66,3,2.75,3.43,1,4.67,4,4,2.33
2.89,3.33,2.5,3,1.33,2.67,1.33,2.5,1.67
2.56,4.5,4.75,4.57,1.67,3.67,2,1.5,1
3.22,3,3,3,2,4,4,4,1
3,3.67,3,3,1,4.33,2,5,1.33
3.2,4,3.5,3.29,1.33,1.67,4.67,1.5,1.67
3.22,4,2.25,3.86,1,3.67,3.33,4,1.33
3.9,4.67,3.5,4.57,2.67,2,2.33,2,2
2.87,5,4,4.86,2.67,1.67,4,4,4.33
3.49,3.5,2,3,1,5,2.67,3,1
2.8,4.33,4,3.71,3.67,3.33,3.67,4,3.67
2.97,3.83,3.75,3.86,3.33,4,3.33,3.5,3
2.75,5,3.5,4.14,4,4,3,3,3.33
3.05,5,3.5,4.43,4,4,4,4,5
2.58,4.33,3,4,1,3.67,3,4,1.33
3.05,4.17,2,3.86,1.67,4,3.67,2,1.67
3.06,5,5,3.71,1.67,1,2,1,5
2.61,5,3.5,3.71,2,1,5,5,3
2.41,4,3,5,1,4,4,2,3.33
3.16,3.83,3.25,3.86,1.33,4,2.67,1,2
2.25,2.17,3.25,4,1.67,1.67,1.33,2,3
3.36,4.67,3,4.14,1,3.67,1,2,4
3.65,5,3,5,1,3.67,1.33,1,3
3.43,2,4.25,4.29,2,2,2,2.5,2
2.59,5,3,3.57,2,1,1,1.5,2
2.62,3.17,4,4.43,1.67,2,1,2,1.33
3.56,3.83,4.75,4,2,1,2.33,1.5,2
3.43,4.33,2.75,3.14,1,4.33,3.67,3,1.33
3.61,4.17,2.75,2.29,1,4.33,3.67,3,1.33
3.55,4.17,2.75,2.57,1,4.33,3.67,3,1.33
3.83,3.83,3.25,2.71,1,3.67,3.67,3,1.33
3.33,3.83,2.75,2.86,1,4.33,3.67,3,1.33
3.01,4,2.25,3,1,3.33,2.67,3.5,2.67
3.34,4,3,3.57,1.33,3.67,3.67,3,3
3.46,4.17,3.25,2.86,1,3.67,3.67,3,3.33
3.25,4,2.75,3.29,1,4.33,3.67,3,1.33
2.91,3.83,3.25,2.71,1,4.33,3.33,3,1.33
3.92,3.17,2.75,2.57,1,4.33,3.67,3,1.33
3.49,4.33,3.25,2.71,1,4.33,3.67,3,1.33
